cod_ibge,uf,populacao_2024,num_escolas,area_algodão_herbáceo_2024,area_cana_de_açúcar_2024,area_milho_2024,area_soja_2024,estabelecimentos_agro_total,area_agro_total_hectares,num_tratores
5107792,MT,4212.0,3315,552306.0,,405165.0,871662.0,121.0,269173.0,356.0
5107800,MT,16795.0,13839,30969.0,1880.0,135739.0,251200.0,2382.0,925050.0,883.0
5107859,MT,14332.0,8286,249215.0,,1095736.0,2405546.0,1070.0,1015648.0,672.0
5107875,MT,31499.0,29775,3819067.0,,509345.0,2241719.0,134.0,797174.0,1233.0
5107883,MT,1901.0,1230,1170.0,,65408.0,134916.0,462.0,92924.0,141.0
5107909,MT,216029.0,146832,107919.0,,799000.0,1156942.0,936.0,279310.0,975.0
5107925,MT,120985.0,96021,1335256.0,24062.0,2861908.0,3930063.0,830.0,827833.0,2095.0
5107941,MT,9908.0,8292,307414.0,,1031439.0,1559706.0,756.0,531918.0,624.0
5107958,MT,112547.0,70809,301857.0,4017.0,227652.0,740237.0,1565.0,333558.0,782.0
5108006,MT,15272.0,10839,686713.0,,675553.0,1135467.0,264.0,267878.0,644.0
5108055,MT,10641.0,7953,10417.0,,87854.0,247400.0,1428.0,219710.0,535.0
5108105,MT,2977.0,1632,,,109691.0,225895.0,258.0,334210.0,428.0
5108204,MT,4230.0,1926,14075.0,,36357.0,183254.0,465.0,214763.0,244.0
5108303,MT,3897.0,3330,154884.0,,267124.0,500000.0,308.0,212398.0,262.0
5108352,MT,2907.0,2361,,,634.0,,495.0,123548.0,88.0
5108402,MT,314627.0,215979,,116.0,154.0,,693.0,46098.0,115.0
5108501,MT,13389.0,8148,25752.0,,713930.0,1014272.0,428.0,231162.0,603.0
5108600,MT,19827.0,13566,,,134639.0,421800.0,1514.0,699719.0,699.0
5108808,MT,4579.0,3216,,,61560.0,165673.0,587.0,76535.0,261.0
5108857,MT,3678.0,2778,,,17045.0,36684.0,225.0,95652.0,157.0
5108907,MT,5775.0,4755,146351.0,,615440.0,986297.0,288.0,611785.0,542.0
5108956,MT,8451.0,6279,,,52262.0,249783.0,733.0,403976.0,384.0
5200050,GO,21165.0,13485,,229.0,807.0,5779.0,177.0,9561.0,49.0
5200100,GO,17638.0,10530,,,8446.0,56286.0,995.0,76881.0,224.0
5200134,GO,21995.0,14040,,441375.0,141367.0,385806.0,407.0,135871.0,471.0
5200159,GO,2297.0,1380,,,1426.0,3289.0,130.0,9245.0,14.0
5200175,GO,4991.0,3318,,,126825.0,302489.0,647.0,161251.0,418.0
5200209,GO,1856.0,1722,,,513.0,2203.0,354.0,43015.0,63.0
5200258,GO,240613.0,179037,,,1631.0,4335.0,32.0,2091.0,11.0
5200308,GO,28009.0,22581,,,15389.0,36137.0,598.0,47629.0,207.0
5200506,GO,1984.0,1215,,,6035.0,21831.0,170.0,10207.0,62.0
5200555,GO,6375.0,5208,,,,3658.0,223.0,44109.0,88.0
5200605,GO,10936.0,7530,,,33759.0,115501.0,385.0,100223.0,179.0
5200803,GO,8597.0,6549,,,5650.0,21953.0,363.0,81036.0,140.0
5200829,GO,3281.0,1932,,85.0,850.0,22018.0,636.0,112512.0,198.0
5200852,GO,5281.0,3429,,,2949.0,4544.0,201.0,12645.0,60.0
